COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
21083,42085,0.020238027,0.006140351,0.003521127,0.019131636
21083,42071,0.000229978,0.000000000,0.000000000,0.000212574
21083,42054,0.001264877,0.000000000,0.000000000,0.001169156
21085,42207,0.000212284,0.000000000,0.000000000,0.000190549
21085,40119,0.073591848,0.033694344,0.093469910,0.072472053
21085,42349,0.005590150,0.000000000,0.000000000,0.005017785
21085,42712,0.047763940,0.031287605,0.079385403,0.048462907
21085,42726,0.211505802,0.097472924,0.122919334,0.201092480
21085,42762,0.013939994,0.004813478,0.011523688,0.013338415
21085,42754,0.507925276,0.774969916,0.613316261,0.527248476
21085,42275,0.000070761,0.000000000,0.000000000,0.000063516
21085,42721,0.134022078,0.055354994,0.078104994,0.127096037
21085,42361,0.005307104,0.002406739,0.001280410,0.004954268
21085,42343,0.000070761,0.000000000,0.000000000,0.000063516
21087,42757,0.031869078,0.007500000,0.009836066,0.029339478
21087,42129,0.001722653,0.000000000,0.000000000,0.001536098
21087,42782,0.071834625,0.015000000,0.055737705,0.067588326
21087,42718,0.049612403,0.015000000,0.065573770,0.048233487
21087,42716,0.006029285,0.002500000,0.013114754,0.006144393
21087,42764,0.031869078,0.002500000,0.022950820,0.029646697
21087,42743,0.787769165,0.952500000,0.826229508,0.799692780
21087,42214,0.011369509,0.005000000,0.000000000,0.010445469
21087,42746,0.006029285,0.000000000,0.000000000,0.005376344
21087,42722,0.001894918,0.000000000,0.006557377,0.001996928
21089,41102,0.011499448,0.002570694,0.000000000,0.010856341
21089,41141,0.031786683,0.008568980,0.003460208,0.030135704
21089,41175,0.181480366,0.131962296,0.145328720,0.178287319
21089,41174,0.024404941,0.005998286,0.010380623,0.023210108
21089,41169,0.139499849,0.181662382,0.231833910,0.143051006
21089,41183,0.049462690,0.030848329,0.013840830,0.047964436
21089,41139,0.244200060,0.283633248,0.373702422,0.248104820
21089,41121,0.037812594,0.007712082,0.003460208,0.035704258
21089,41101,0.027468113,0.089974293,0.044982699,0.031118390
21089,41143,0.006126343,0.001713796,0.010380623,0.005942911
21089,41144,0.246258913,0.255355613,0.162629758,0.245624708
21091,42366,0.007044091,0.000000000,0.000000000,0.006806151
21091,42368,0.079572137,0.024000000,0.333333333,0.078396773
21091,42351,0.393947300,0.592000000,0.222222222,0.399798336
21091,42348,0.483433342,0.384000000,0.333333333,0.479959667
21091,42364,0.000000000,0.000000000,0.111111111,0.000252080
21091,42343,0.036003131,0.000000000,0.000000000,0.034786993
21093,40121,0.117905529,0.113944546,0.122659176,0.117917065
21093,42784,0.009337239,0.001011941,0.007256554,0.008553569
21093,40051,0.000164775,0.000000000,0.000234082,0.000156659
21093,40140,0.000311241,0.000000000,0.000234082,0.000281986
21093,40162,0.042804833,0.003238211,0.020599251,0.038256074
21093,40175,0.060380813,0.025298523,0.029260300,0.055582536
21093,42724,0.039051629,0.013762396,0.022003745,0.035953190
21093,40122,0.000000000,0.040882412,0.000702247,0.003211505
21093,42788,0.002288539,0.000000000,0.000234082,0.001973901
21093,42740,0.015214207,0.004654928,0.016619850,0.014490937
21093,40177,0.010252655,0.012143291,0.016151685,0.010793790
21093,42701,0.416385939,0.470350132,0.480805243,0.424874281
21093,42776,0.016843647,0.008702692,0.002106742,0.015227234
21093,42702,0.027792018,0.100182149,0.000468165,0.031566744
21093,40150,0.000805566,0.000202388,0.000000000,0.000704965
21093,40160,0.205382644,0.173649059,0.259597378,0.206554603
21093,40159,0.013712926,0.027524793,0.000468165,0.013895634
21093,42748,0.000036617,0.000000000,0.000000000,0.000031332
21093,42712,0.005931893,0.001214329,0.007958801,0.005702380
21093,42732,0.015397290,0.003238211,0.012640449,0.014271615
21095,40849,0.000000000,0.000000000,0.002659574,0.000102828
